capture_date,insurer,product_family_id,product_name_zh,category,comparison_bucket,payment_mode,payment_term_years,target_premium,target_total_premium,actual_premium,actual_total_premium_pdf,notional_amount,levy_per_payment,status,pdf_file,notes
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,2Y_MONTHLY,MONTHLY,2,1300,31200,,,,,NOT_OFFERED_IN_PORTAL,,"Portal payment term dropdown for this product showed single-pay, 5 years, and 10 years only; no 2-year option was available."
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,2Y_SINGLE,SINGLE,2,,31200,,,,,NOT_OFFERED_IN_PORTAL,,"Portal payment term dropdown for this product showed single-pay, 5 years, and 10 years only; no 2-year option was available."
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,5Y_ANNUAL,ANNUAL,5,15600,78000,15599.99,77999,795512,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_CreativeFortunePlus_PREMIUM15600_ANNUAL_5pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,5Y_MONTHLY,MONTHLY,5,1300,78000,1300,78000,585744,1.3,STANDARD_MATCH,20260511_FWD_LIFESAVING_CreativeFortunePlus_PREMIUM1300_MONTHLY_5pay.pdf,PDF confirmed from premium input; target premium matches exactly.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,5Y_SINGLE,SINGLE,5,,78000,,,,,NOT_OFFERED_IN_PORTAL,,Only a true single-premium option was shown; no 5-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,10Y_ANNUAL,ANNUAL,10,15600,156000,15599.99,155999,1157270,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_CreativeFortunePlus_PREMIUM15600_ANNUAL_10pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,10Y_MONTHLY,MONTHLY,10,1300,156000,1299.99,155998,1071546,1.3,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_CreativeFortunePlus_PREMIUM1300_MONTHLY_10pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,10Y_SINGLE,SINGLE,10,,156000,,,,,NOT_OFFERED_IN_PORTAL,,Only a true single-premium option was shown; no 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,,,71300.68,71300,632603,12.87,PDF_CONFIRMED_OUT_OF_SCOPE,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf,"True single-premium quote for same sum insured; payment term is 1, not a 2Y/5Y/10Y single-pay standard bucket."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,2Y_ANNUAL,ANNUAL,2,15600,31200,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,2Y_MONTHLY,MONTHLY,2,1300,31200,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,2Y_SINGLE,SINGLE,2,,31200,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,5Y_ANNUAL,ANNUAL,5,15600,78000,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,5Y_MONTHLY,MONTHLY,5,1300,78000,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,5Y_SINGLE,SINGLE,5,,78000,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,10Y_ANNUAL,ANNUAL,10,15600,156000,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,10Y_MONTHLY,MONTHLY,10,1300,156000,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_smart_saver,智優盛儲蓄保險計劃,savings,10Y_SINGLE,SINGLE,10,,156000,,,,,NOT_STANDARD_TERM_IN_PORTAL,,"Portal form observed locked to single-pay, 1-year payment term and 8-year protection term; this product should not be forced into 2/5/10 regular-pay rows without a real portal quote."
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,2Y_MONTHLY,MONTHLY,2,1300,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,2Y_ANNUAL,ANNUAL,2,15600,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,2Y_SINGLE,SINGLE,2,,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,5Y_MONTHLY,MONTHLY,5,1300,78000,1300,78000,736586,1.3,STANDARD_MATCH,20260511_FWD_LIFESAVING_CreativeFortunePlusII_PREMIUM1300_MONTHLY_5pay.pdf,PDF confirmed from premium input; target premium matches exactly.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,5Y_ANNUAL,ANNUAL,5,15600,78000,15599.99,77999,795512,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_CreativeFortunePlusII_PREMIUM15600_ANNUAL_5pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,5Y_SINGLE,SINGLE,5,,78000,,,,,NOT_OFFERED_IN_PORTAL,,Inventory observed true single-premium only; no 5-year or 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,10Y_MONTHLY,MONTHLY,10,1300,156000,1300,156000,1289683,1.3,STANDARD_MATCH,20260511_FWD_LIFESAVING_CreativeFortunePlusII_PREMIUM1300_MONTHLY_10pay.pdf,PDF confirmed from premium input; target premium matches exactly.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,10Y_ANNUAL,ANNUAL,10,15600,156000,15599.99,155999,1392857,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_CreativeFortunePlusII_PREMIUM15600_ANNUAL_10pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,10Y_SINGLE,SINGLE,10,,156000,,,,,NOT_OFFERED_IN_PORTAL,,Inventory observed true single-premium only; no 5-year or 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,,,33870,33870,500000,12.87,PDF_CONFIRMED_FORCED_MINIMUM_OUT_OF_SCOPE,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf,"Direct PDF confirmed; portal forced the minimum USD 500,000 sum insured, so this true single-premium quote is out of the 2Y/5Y/10Y standard buckets."
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,2Y_MONTHLY,MONTHLY,2,1300,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,2Y_ANNUAL,ANNUAL,2,15600,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,2Y_SINGLE,SINGLE,2,,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,5Y_MONTHLY,MONTHLY,5,1300,78000,1300,78000,398358,1.3,STANDARD_MATCH,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM1300_MONTHLY_5pay.pdf,PDF confirmed from premium input; target premium matches exactly.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,5Y_ANNUAL,ANNUAL,5,15600,78000,15599.98,77999,444444,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_5pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,5Y_SINGLE,SINGLE,5,,78000,,,,,NOT_OFFERED_IN_PORTAL,,Inventory observed true single-premium only; no 5-year or 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_MONTHLY,MONTHLY,10,1300,156000,1300,156000,750751,1.3,STANDARD_MATCH,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM1300_MONTHLY_10pay.pdf,PDF confirmed from premium input; target premium matches exactly.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,15600,156000,15600,156000,810811,12.87,STANDARD_MATCH,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf,PDF confirmed from premium input; target premium matches exactly.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_SINGLE,SINGLE,10,,156000,,,,,NOT_OFFERED_IN_PORTAL,,Inventory observed true single-premium only; no 5-year or 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,OUT_OF_SCOPE,SINGLE,1,,,44286,44286,15600,12.87,PDF_EXTRACTED_FROM_INVENTORY_OUT_OF_SCOPE,20260510_FWD_LIFESAVING_CreativeFortunePremier_USD44286_SINGLE_minSI300000.pdf,Yearly values imported from the existing app inventory PDF extraction; raw PDF is not archived in this capture folder.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,2Y_MONTHLY,MONTHLY,2,1300,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,2Y_ANNUAL,ANNUAL,2,15600,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,2Y_SINGLE,SINGLE,2,,31200,,,,,NOT_OFFERED_IN_PORTAL,,Portal payment term matrix in the inventory showed no 2-year option for this life-savings product.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,5Y_MONTHLY,MONTHLY,5,1300,78000,1299.99,77999,295750,1.3,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_HomeLegacy_PREMIUM1300_MONTHLY_5pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,5Y_ANNUAL,ANNUAL,5,15600,78000,15599.98,77999,319410,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_HomeLegacy_PREMIUM15600_ANNUAL_5pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,5Y_SINGLE,SINGLE,5,,78000,,,,,NOT_OFFERED_IN_PORTAL,,Inventory observed true single-premium only; no 5-year or 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,10Y_MONTHLY,MONTHLY,10,1300,156000,1299.99,155998,558563,1.3,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_HomeLegacy_PREMIUM1300_MONTHLY_10pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,10Y_ANNUAL,ANNUAL,10,15600,156000,15599.99,155999,603248,12.87,STANDARD_ROUNDED,20260511_FWD_LIFESAVING_HomeLegacy_PREMIUM15600_ANNUAL_10pay.pdf,PDF confirmed from premium input; premium is slightly below target because the portal solves from integer sum insured.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,10Y_SINGLE,SINGLE,10,,156000,,,,,NOT_OFFERED_IN_PORTAL,,Inventory observed true single-premium only; no 5-year or 10-year full-pay/upfront variant was available.
2026-05-11,FWD,fwd_home_legacy,家 ‧ 年華壽險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,,,15599.94,15599.94,15600,12.87,PDF_EXTRACTED_FROM_INVENTORY_OUT_OF_SCOPE,20260510_FWD_LIFESAVING_HomeLegacy_USD15600_SINGLE.pdf,Yearly values imported from the existing app inventory PDF extraction; raw PDF is not archived in this capture folder.
